,Origin,Date,mta_ridership,uber_ridership
313,Briarwood/Jamaica Hills,2017-02,921461.0,2042.0
314,Briarwood/Jamaica Hills,2017-03,1161024.0,2929.0
315,Briarwood/Jamaica Hills,2017-04,1022643.0,2448.0
316,Briarwood/Jamaica Hills,2017-05,1196951.0,2839.0
317,Briarwood/Jamaica Hills,2017-06,1128354.0,2818.0
318,Briarwood/Jamaica Hills,2017-07,972628.0,2690.0
319,Briarwood/Jamaica Hills,2017-08,1057587.0,3166.0
320,Briarwood/Jamaica Hills,2017-09,1050667.0,3171.0
321,Briarwood/Jamaica Hills,2017-10,1159209.0,3652.0
322,Briarwood/Jamaica Hills,2017-11,1039466.0,3767.0
323,Briarwood/Jamaica Hills,2017-12,905909.0,3678.0
324,Brooklyn Heights,2015-01,909644.0,1716.0
325,Brooklyn Heights,2015-02,914626.0,1742.0
326,Brooklyn Heights,2015-03,1223518.0,1923.0
327,Brooklyn Heights,2015-04,1259073.0,2151.0
328,Brooklyn Heights,2015-05,1170487.0,1966.0
329,Brooklyn Heights,2015-06,1252316.0,2345.0
330,Brooklyn Heights,2015-07,1216207.0,2684.0
331,Brooklyn Heights,2015-08,1032489.0,2889.0
332,Brooklyn Heights,2015-09,1159941.0,3258.0
333,Brooklyn Heights,2015-10,1305018.0,3675.0
334,Brooklyn Heights,2015-11,949107.0,3570.0
335,Brooklyn Heights,2015-12,924204.0,3544.0
336,Brooklyn Heights,2016-01,923102.0,4176.0
337,Brooklyn Heights,2016-02,967918.0,4088.0
338,Brooklyn Heights,2016-03,1188485.0,4320.0
339,Brooklyn Heights,2016-04,1190481.0,4335.0
340,Brooklyn Heights,2016-05,1205845.0,4038.0
341,Brooklyn Heights,2016-06,1224438.0,4186.0
342,Brooklyn Heights,2016-07,1061585.0,4492.0
343,Brooklyn Heights,2016-08,1163274.0,5268.0
344,Brooklyn Heights,2016-09,1231623.0,5448.0
345,Brooklyn Heights,2016-10,1202234.0,5153.0
346,Brooklyn Heights,2016-11,1029803.0,5438.0
347,Brooklyn Heights,2016-12,901482.0,5433.0
348,Brooklyn Heights,2017-01,976163.0,6130.0
349,Brooklyn Heights,2017-02,884269.0,5529.0
350,Brooklyn Heights,2017-03,1182943.0,6525.0
